student_id,gender,leader_flag,support_flag,score
1,0,0,0,335
2,1,0,0,379
3,0,0,0,350
4,0,0,0,301
5,1,0,0,317
6,0,0,0,390
7,0,0,0,322
8,1,0,0,317
9,1,0,0,390
10,0,0,0,357
11,1,0,0,252
12,0,0,0,285
13,0,1,0,218
14,0,0,0,260
15,1,0,0,347
16,0,0,0,358
17,0,0,0,291
18,0,0,0,335
19,0,0,0,437
20,0,0,0,200
21,0,0,0,361
22,1,0,0,312
23,0,0,0,342
24,1,0,0,303
25,0,0,0,275
26,1,0,0,292
27,1,0,1,268
28,1,1,0,261
29,1,0,0,339
30,1,0,0,296
31,0,0,0,261
32,0,0,0,309
33,0,0,0,295
34,1,0,0,292
35,0,0,0,397
36,0,0,0,326
37,1,0,0,283
38,0,0,0,291
39,0,0,0,408
40,0,0,0,317
41,0,0,0,241
42,1,1,0,380
43,1,0,0,340
44,1,0,0,341
45,0,0,0,276
46,0,0,0,336
47,1,0,0,291
48,0,0,0,245
49,1,0,0,352
50,0,0,0,267
51,1,0,0,189
52,1,0,0,337
53,0,0,0,379
54,0,0,0,264
55,1,0,0,332
56,0,0,0,275
57,0,0,0,290
58,1,0,0,279
59,0,0,0,327
60,1,0,0,315
61,1,0,0,258
62,1,0,0,334
63,1,0,0,122
64,1,0,0,222
65,0,0,0,421
66,1,0,0,314
67,1,0,0,349
68,1,0,0,385
69,0,0,0,256
70,0,0,0,206
71,0,0,0,88
72,1,0,0,326
73,0,0,0,352
74,0,1,0,439
75,0,0,0,273
76,1,0,0,231
77,1,0,0,284
78,0,0,1,278
79,0,0,0,367
80,1,0,0,233
81,1,0,0,283
82,1,0,0,247
83,0,0,0,413
84,0,0,0,212
85,0,0,0,366
86,1,1,0,344
87,0,0,0,215
88,0,1,0,123
89,1,0,0,350
90,0,0,0,220
91,1,0,0,351
92,0,0,0,383
93,1,0,0,352
94,1,0,0,316
95,0,0,0,337
96,1,0,0,300
97,0,0,0,350
98,1,0,0,352
99,1,0,0,409
100,0,0,0,336
101,1,0,0,224
102,1,0,0,369
103,1,0,0,233
104,0,0,0,209
105,1,0,0,322
106,0,0,0,355
107,0,0,0,346
108,1,0,0,390
109,0,0,0,102
110,1,0,0,239
111,1,0,0,335
112,1,0,0,320
113,0,0,0,269
114,0,0,0,277
115,1,0,0,287
116,1,0,0,231
117,0,0,0,390
118,0,0,0,301
119,0,0,0,329
120,1,0,0,246
121,1,1,0,280
122,1,0,0,355
123,0,0,0,128
124,0,0,0,214
125,0,0,0,267
126,1,0,0,373
127,0,0,0,335
128,1,0,0,175
129,1,0,0,311
130,1,0,0,349
131,1,0,0,313
132,1,0,0,335
133,1,0,0,323
134,0,0,0,269
135,0,0,0,272
136,1,0,0,391
137,0,0,0,228
138,0,1,0,190
139,1,0,0,382
140,1,0,0,378
141,1,0,0,287
142,1,0,0,314
143,1,0,0,287
144,1,0,0,237
145,0,0,0,406
146,0,0,0,374
147,1,0,0,341
148,1,0,0,217
149,0,0,0,282
150,1,0,0,344
151,0,0,0,325
152,0,0,0,240
153,0,0,0,336
154,1,0,0,299
155,0,0,0,308
156,1,0,0,354
157,1,0,0,244
158,0,0,0,362
159,0,0,0,354
160,1,1,0,266
161,0,0,0,327
162,0,0,0,234
163,0,0,0,293
164,0,0,0,239
165,1,0,0,213
166,1,0,0,304
167,0,0,0,211
168,1,0,0,160
169,1,0,0,235
170,1,0,0,246
171,1,0,0,278
172,1,0,0,346
173,0,0,0,197
174,0,0,0,320
175,1,0,0,163
176,1,0,0,366
177,1,0,0,389
178,1,0,0,305
